molecule_chembl_id,bioactivity_class,standard_value,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL4744911,active,1000.0,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCCc1cn(CCNc2c3c(nc4ccc(OC)cc24)CCCC3)nn1,681.823,5.0640000000000045,3.0,12.0
CHEMBL4756424,active,12.1,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(CCNc2c3c(nc4cc(Cl)ccc24)CCCC3)nn1,702.241,5.292800000000004,3.0,12.0
CHEMBL4779478,active,44.7,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1,667.796,4.639400000000004,3.0,12.0
CHEMBL4799661,active,1000.0,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(CCNc2c3c(nc4ccc(OC)cc24)CCCC3)nn1,697.822,4.648000000000004,3.0,13.0
CHEMBL3410089,active,1000.0,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,318.35800000000006,1.6610999999999998,2.0,6.0
CHEMBL4781117,active,311.6,O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,596.7570000000001,6.001400000000006,3.0,8.0
CHEMBL4754192,active,295.2,O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1sc(-c2ccnc(NC(=O)C3CCC3)c2)nc1OCC1CC1,610.7840000000001,6.391500000000007,3.0,8.0
CHEMBL4758531,active,393.6,CC(=O)Nc1cc(-c2nc(OCC3CC3)c(C(=O)NCCCNc3c4c(nc5ccccc35)CCCC4)s2)ccn1,570.7190000000003,5.611300000000004,3.0,8.0
CHEMBL4789145,active,1.2,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,585.7340000000003,4.420700000000004,4.0,9.0
CHEMBL4777788,active,40.5,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2)nc1OCC1CC1,620.1790000000002,5.074100000000004,4.0,9.0
CHEMBL4785004,active,30.7,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccc(OC)cc35)CCCC4)c2)nc1OCC1CC1,615.7600000000002,4.429300000000004,4.0,10.0
CHEMBL4761239,active,45.2,CCNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,599.7610000000001,4.810800000000005,4.0,9.0
CHEMBL4746403,active,4.9,CCCNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,613.7880000000001,5.200900000000005,4.0,9.0
CHEMBL4753347,active,0.8,NC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,571.7070000000001,4.160000000000004,4.0,9.0
CHEMBL4756997,active,23.1,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,613.7880000000002,5.200900000000005,4.0,9.0
CHEMBL4800403,active,21.9,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,641.8420000000001,5.981100000000006,4.0,9.0
CHEMBL4798419,active,15.2,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,669.896,6.761300000000007,4.0,9.0
CHEMBL4749327,active,97.4,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OC,545.6690000000004,3.640500000000002,4.0,9.0
CHEMBL4749678,active,155.3,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CCC1,599.7610000000002,4.810800000000004,4.0,9.0
CHEMBL4759230,active,102.9,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC(C)(C)C,601.7770000000003,5.056800000000004,4.0,9.0
CHEMBL4787169,active,237.4,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OC(C)C,573.7230000000004,4.419100000000004,4.0,9.0
CHEMBL4750284,active,49.2,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC(C)C,587.7500000000003,4.666700000000004,4.0,9.0
CHEMBL4743210,active,5.48,COc1cc(CNC(=O)CCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O,520.0730000000003,6.497000000000007,3.0,5.0
CHEMBL4788434,active,4.35,COc1cc(CNC(=O)CCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O,534.1000000000004,6.887100000000007,3.0,5.0
CHEMBL4754487,active,0.77,COc1cc(CNC(=O)CCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O,548.1270000000003,7.277200000000008,3.0,5.0
